Genus,species
Agoseris,glauca
Phlox,longifolia
Astragalus,filipes
Poa,secunda
Festuca,viridula
Poa,secunda
Descurainia,incana
Lomatium,ambiguum
Hackelia,floribunda
Purshia,tridentata
Ericameria,nauseosa
Artemisia,tripartata
Chamaebatiaria,millifolium
Artemisia,tridentata
Agoseris,glauca
Lomatium,ambiguum
Descurainia,incana
Phlox,longifolia
Purshia,tridentata
Penstemon,cyaneus
Artemisia,tridentata
Diplacus,nanus
Artemisia,tripartata
Artemisia,tridentata
Senecio,sphaerocephalus
Agoseris,glauca
Phlox,longifolia
Delphinium,andersonii
Astragalus,filipes
Boechera,divaricarpa
Achnatherum,lemmonii
Viola,nuttallii
Achnatherum,lemmonii
Lomatium,simplex
Balsamorhiza,sagittata
Lomatium,multifidum
Stephanomeria,tenuifolia
Gayophytum,ramosissimum
Mentzelia,albicaulis
Phacelia,heterophylla
Cordylanthus,ramosus
Ericameria,nauseosa
Agoseris,glauca
Phlox,aculeata
Diplacus,nanus
Lomatium,foeniculaceum
Balsamorhiza,sagittata
Senecio,sphaerocephalus
Astragalus,filipes
Phlox,aculeata
Mentzelia,albicaulis
Viola,nuttallii
Delphinium,andersonii
Stephanomeria,tenuifolia
Achnatherum,lemmonii
Purshia,tridentata
Purshia,tridentata
Artemisia,tripartata
Ericameria,nauseosa
Mentzelia,albicaulis
Lomatium,foeniculaceum
Stephanomeria,tenuifolia
Toxicoscordion,paniculatum
Lomatium,ambiguum
Lappula,redowskii
Balsamorhiza,sagittata
Acnatherum,occidentale
Agoseris,glauca
Viola,nuttallii
Mentzelia,albicaulis
Diplacus,nanus
Lappula,redowskii
Gayophytum,ramosissimum
Artemisia,tridentata
Artemisia,tripartata
Artemisia,tridentata
Purshia,tridentata
Chamaebatiaria,millifolium
Ericameria,nauseosa
Ericameria,nauseosa
Descurainia,pinnata
Ericameria,nauseosa
Allium,acuminatum
Artemisia,tridentata
Lomatium,ambiguum
Mentzelia,albicaulis
Sisymbrium,altissimum
Phlox,longifolia
Toxicoscordion,paniculatum
Leymus,cinerus
Delphinium,andersonii
Phlox,longifolia
Sisymbrium,altissimum
Agoseris,aurantiaca
Allium,acuminatum
Ericameria,nauseosa
Sisymbrium,altissimum
Artemisia,tridentata
Descurainia,incana
Crepis,acuminata
Elymus,elymoides
Elymus,elymoides
Thinopyrum,intermedium
Phlox,longifolia
Erigeron,pumilus
Erigeron,subtrinervis
Chrysothamnus,viscidiflorus
Elymus,elymoides
Crepis,acuminata
Artemisia,tridentata
Artemisia,tridentata
Allium,acuminatum
Ericameria,nauseosa
Sisymbrium,altissimum
Sisymbrium,altissimum
Chaenactis,douglasii
Sisymbrium,altissimum
Achnatherum,thurberianum
Achnatherum,thurberianum
Purshia,tridentata
Elymus,elymoides
Chrysothamnus,viscidiflorus
Agoseris,glauca
Toxicoscordion,paniculatum
Penstemon,cyaneus
Chrysothamnus,viscidiflorus
Allium,acuminatum
Crepis,acuminata
Leymus,cinerus
Sisymbrium,altissimum
Ericameria,nauseosa
Cordylanthus,ramosus
Delphinium,andersonii
Descurainia,pinnata
Crepis,acuminata
Sisymbrium,altissimum
Artemisia,tridentata
Achnatherum,thurberianum
Agoseris,glauca
Allium,acuminatum
Erigeron,pumilus
Erigeron,subtrinervis
Sisymbrium,altissimum
Eriogonum,caespitosum
Astragalus,lentiginosus
Calchortus,macrocarpus
Ericameria,nauseosa
Chrysothamnus,viscidiflorus
Phlox,longifolia
Agoseris,glauca
Crepis,acuminata
Delphinium,andersonii
Penstemon,cyaneus
Juniperus,occidentalis
Balsamorhiza,sagittata
Artemisia,tridentata
Purshia,tridentata
Artemisia,tridentata
Chrysothamnus,viscidiflorus
Pinus,flexilis
Chamaebatiaria,millifolium
Stephanomeria,tenuifolia
Lappula,redowskii
Artemisia,tridentata
Chrysothamnus,viscidiflorus
Ericameria,nauseosus
Ericameria,nauseosus
Chamaebatiaria,millifolium
Artemisia,tridentata
Chamaebatiaria,millifolium
Eriastrum,sparsiflorum
Cordylanthus,ramosus
Ericameria,nauseosa
Chrysothamnus,viscidiflorus
Chaenactis,douglasii
Artemisia,tridentata
Chamaebatiaria,millifolium
Chrysothamnus,viscidiflorus
Chrysothamnus,viscidiflorus
Artemisia,tridentata
Chamaebatiaria,millifolium
Artemisia,tridentata
Chamaebatiaria,millifolium
Lappula,redowskii
Chenopodium,leptophyllum
Chrysothamnus,viscidiflorus
Artemisia,tridentata
Ericameria,nauseosa
Descurainia,incana
Lomatium,multifidum
Lomatium,multifidum
Phlox,hoodii
Alyssum,desertorum
Boechera,divaricarpa
Balsamorhiza,sagittata
Phlox,longifolia
Allium,acuminatum
Lappula,redowskii
Lomatium,multifidum
Phlox,hoodii
Chamaebatiaria,millifolium
Lomatium,foeniculaceum
Allium,acuminatum
Viola,nuttallii
Chrysothamnus,viscidiflorus
Lappula,redowskii
Artemisia,tridentata
Balsamorhiza,sagittata
Boechera,divaricarpa
Descurainia,incana
Boechera,divaricarpa
Senecio,sphaerocephalus
Lomatium,simplex
Chrysothamnus,viscidiflorus
Boechera,divaricarpa
Allium,acuminatum
Lithospermum,ruderale
Ericameria,nauseosa
Senecio,sphaerocephalus
Artemisia,tridentata
Balsamorhiza,sagittata
Diplacus,nanus
Viola,nuttallii
Viola,nuttallii
Senecio,sphaerocephalus
Chrysothamnus,viscidiflorus
Artemisia,tridentata
Lomatium,multifidum
Carex,filifolia
Lithospermum,ruderale
Lomatium,simplex
Boechera,divaricarpa
Allium,acuminatum
Lomatium,simplex
Phlox,hoodii
Lomatium,multifidum
Artemisia,tripartata
Chrysothamnus,viscidiflorus
Boechera,divaricarpa
Senecio,sphaerocephalus
Lathrocasis,tenerrima
Lithophragma,tenellum
Alyssum,desertorum
Ribes,aureum
Artemisia,tridentata
Purshia,tridentata
Phlox,hoodii
Descurainia,incana
Lomatium,foeniculaceum
Chrysothamnus,viscidiflorus
Viola,nuttallii
Lathrocasis,tenerrima
Astragalus,purshii
Lomatium,simplex
Lappula,redowskii
Phlox,longifolia
Lathrocasis,tenerrima
Phlox,longifolia
Viola,nuttallii
Purshia,tridentata
Ericameria,nauseosa
Lomatium,simplex
Descurainia,incana
Senecio,sphaerocephalus
Artemisia,tridentata
Lappula,redowskii
Boechera,divaricarpa
Lathrocasis,tenerrima
Phlox,longifolia
Lomatium,simplex
Lathrocasis,tenerrima
Ericameria,nauseosa
Lithophragma,tenellum
Artemisia,tripartata
Phlox,hoodii
Viola,nuttallii
Penstemon,procerus
Boechera,divaricarpa
Descurainia,incana
Senecio,sphaerocephalus
Artemisia,tridentata
Lappula,redowskii
Artemisia,tridentata
Chamaebatiaria,millifolium
Ericameria,nauseosa
Ranunculus,glaberrimus
Purshia,tridentata
Balsamorhiza,sagittata
Lomatium,multifidum
Penstemon,procerus
Boechera,divaricarpa
Lathrocasis,tenerrima
Boechera,divaricarpa
Lappula,redowskii
Descurainia,incana
Lithophragma,tenellum
Ribes,aureum
Artemisia,tridentata
Astragalus,purshii
Carex,filifolia
Phlox,longifolia
Boechera,divaricarpa
Boechera,divaricarpa
Chrysothamnus,viscidiflorus
Viola,nuttallii
Purshia,tridentata
Lomatium,foeniculaceum
Lomatium,simplex
Artemisia,tripartata
Senecio,sphaerocephalus
Lappula,redowskii
Phlox,hoodii
Lathrocasis,tenerrima
Penstemon,procerus
Descurainia,incana
Lithophragma,tenellum
Purshia,tridentata
Lomatium,simplex
Penstemon,procerus
Artemisia,tridentata
Lithophragma,tenellum
Descurainia,incana
Lappula,redowskii
Boechera,divaricarpa
Phlox,longifolia
Boechera,divaricarpa
Viola,nuttallii
Chrysothamnus,viscidiflorus
Lomatium,foeniculaceum
Senecio,sphaerocephalus
Artemisia,tripartata
Astragalus,purshii
Lathrocasis,tenerrima
Thlaspi,arvense
Purshia,tridentata
Boechera,divaricarpa
Lithophragma,tenellum
Galium,bifolium
Erythranthe,suksdorfii
Chamaebatiaria,millifolium
Artemisia,tridentata
Lathrocasis,tenerrima
Lappula,redowskii
Lithospermum,ruderale
Artemisia,tripartata
Lomatium,multifidum
Viola,nuttallii
Lomatium,simplex
Phlox,hoodii
Senecio,sphaerocephalus
Boechera,divaricarpa
Ericameria,nauseosa
Lomatium,foeniculaceum
Ericameria,nauseosa
Lomatium,multifidum
Lathrocasis,tenerrima
Galium,bifolium
Chrysothamnus,viscidiflorus
Boechera,divaricarpa
Phlox,hoodii
Lomatium,simplex
Lomatium,multifidum
Artemisia,tridentata
Boechera,divaricarpa
Lomatium,foeniculaceum
Viola,nuttallii
Artemisia,tripartata
Senecio,sphaerocephalus
Diplacus,nanus
Erythranthe,suksdorfii
